Rating,Professor Gender,Comment Text
5.0,W,nike is a real gem and she cares very much about her students she is sometimes a bit difficult to communicate with during classes but absolutely hilarious and a little patience goes a long a way
1.0,M,youll wonder why you even bother to show up to class which consists of personal stories and repremanding you for not having a commanding knowledge of material he never covered
4.0,M,he literally gives you everything you need to get an a technically he even gives you the quizzes and exams just fill them out and study them and youre all good
5.0,M,math you have to work on it daily if you want to understand the concepts this professor also created and posted videos of him teaching each lesson watch them and take notes and you will do fine he is actually quite hilarious in the videos and makes learning less intimidating there is really easy extra credit and he helps anyone just ask
5.0,M,i took my first class with him the summer before my freshman year it was in and my first college course and i loved him i took another course later with him and loved him also then it has been many years but his teaching still impacts my life he was one of the reasons why i eventually changed my major to sociology
1.0,M,his class was bearable he is mean
3.5,M,he is an okay professor he knows what he is talking about but he is pretty difficult he grades speeches on the harsher side it is not very easy for many people to speak in front of others and i feel like he forgets that he always uses the way he speaks as an example but has been doing it for so long hes a pro while were still adjusting to it
5.0,M,good guy and good teacher have to attend to pass some stupid rules he has but that big of a deal necessarily have to pay attention but have to read the book and do problems in workbook tests are very straight forward some questions directly out of the work book really easy a
5.0,M,he is a great and knowledgeable professor all the bad comments are from students who are just lazy and are trying to get a easy a without putting any effort
5.0,M,he is very smart very knowledgeable and really easy with the homework and he was generous when it came down to curving test grades
5.0,M,not sure why he has a when he deserves a a wonderful professor and as long as you do the work
